DATE,RECPROUSM156N
2020-09-01,0.1
2020-10-01,0.02
2020-11-01,0.26
2020-12-01,0.08
2021-01-01,0.0
2021-02-01,0.0
2021-03-01,0.0
2021-04-01,0.74
2021-05-01,0.28
2021-06-01,0.08
2021-07-01,0.12
2021-08-01,0.46
2021-09-01,0.56
2021-10-01,0.14
2021-11-01,0.1
2021-12-01,0.24
2022-01-01,0.06
2022-02-01,0.04
2022-03-01,0.18
